rid,datetime,host,src,proto,type,spt,dpt,srcstr,cc,country,locale,latitude,longitude,Label
10.42.0.151-54.173.220.111-54434-443-6,03-03-13 21:53,groucho-oregon,1032051418,TCP,Advertising,6000,1433,61.131.218.218,CN,China,Jiangxi Sheng,28.55,115.9333,1
10.42.0.151-52.22.102.34-53632-443-6,03-03-13 21:57,groucho-oregon,1347834426,UDP,Gaming,5270,5060,80.86.82.58,DE,Germany,,51,9,1
10.42.0.211-10.42.0.1-55667-53-17,03-03-13 21:58,groucho-oregon,2947856490,TCP,Banking,2489,1080,175.180.184.106,TW,Taiwan,Taipei,25.0392,121.525,0
10.42.0.211-10.42.0.1-18693-53-17,03-03-13 21:58,groucho-us-east,841842716,UDP,Transport,43235,1900,50.45.128.28,US,United States,Oregon,45.5848,-122.9117,1
10.42.0.42-104.244.43.163-43380-443-6,03-03-13 21:58,groucho-singapore,3587648279,TCP,Healthcare,56577,80,213.215.43.23,FR,France,,48.86,2.35,0
10.42.0.211-10.42.0.1-7686-53-17,03-03-13 21:58,groucho-tokyo,3323217250,TCP,Web,32628,2323,198.20.69.98,US,United States,Illinois,41.8825,-87.6441,0
172.217.10.106-10.42.0.151-443-48914-6,03-03-13 21:59,groucho-oregon,3730416887,TCP,Fashion,6000,1433,222.89.164.247,CN,China,Henan Sheng,34.6836,113.5325,1
219.147.93.205-10.42.0.211-443-34071-6,03-03-13 22:07,groucho-singapore,3738622573,TCP,Question & Answer,6000,3306,222.214.218.109,CN,China,Sichuan Sheng,30.6667,104.0667,1
180.149.136.194-10.42.0.42-80-46051-6,03-03-13 22:12,groucho-oregon,3683919430,TCP,"Government, Database",6000,1433,219.148.38.70,CN,China,Hebei,39.8897,115.275,0
172.217.12.163-10.42.0.42-443-48160-6,03-03-13 22:14,groucho-singapore,1007884304,TCP,Ticket Distribution,6000,1433,60.19.24.16,CN,China,Liaoning,41.7922,123.4328,1
220.181.7.190-10.42.0.211-443-33887-6,03-03-13 22:14,groucho-tokyo,3639889826,TCP,Consumer Goods,6000,1433,216.244.79.162,US,United States,Washington,47.4891,-122.2908,0
10.42.0.151-10.42.0.1-40169-53-17,03-03-13 22:20,groucho-oregon,1965603898,TCP,Military,9907,1433,117.40.188.58,CN,China,Jiangxi Sheng,28.55,115.9333,1
202.77.129.230-10.42.0.151-80-58558-6,03-03-13 22:20,groucho-sa,3672981807,TCP,"Consulting,Accounting",33367,22,218.237.65.47,KR,South Korea,Seoul,37.4906,127.02,0
172.217.10.46-10.42.0.151-443-41375-6,03-03-13 22:20,zeppo-norcal,3672981807,TCP,"Financial,Credit Reporting",33367,22,218.237.65.47,KR,South Korea,Seoul,37.4906,127.02,1
